country,year,disease,gdp_per_capita,vaccination_coverage,health_expenditure_percentage
Albania,2016,measles,12292.00,0.96,6.70
Andorra,2016,measles,11580.00,0.97,6.90
Armenia,2016,measles,52665.09,0.97,10.90
Austria,2016,measles,14232.00,0.95,10.40
Azerbaijian,2016,measles,49830.00,0.98,4.40
Belarus,2016,measles,48599.20,0.98,5.90
Belgium,2016,measles,13001.00,0.96,10.80
Bosnia and Herzegovina,2016,measles,20733.00,0.68,9.10
Bulgaria,2016,measles,26056.00,0.92,7.50
Croatia,2016,measles,36627.61,0.90,6.70
Czech Republic,2016,measles,51814.24,0.98,7.40
Denmark,2016,measles,31945.12,0.94,10.30
Estonia,2016,measles,44934.49,0.93,6.70
Finland,2016,measles,42983.75,0.94,9.40
France,2016,measles,12964.00,0.90,11.50
Georgia,2016,measles,50579.48,0.93,8.00
Germany,2016,measles,27511.80,0.97,11.20
Greece,2016,measles,27941.93,0.97,8.40
Hungary,2016,measles,54477.41,0.99,7.00
Iceland,2016,measles,73170.44,0.91,8.10
Ireland,2016,measles,40267.22,0.92,7.50
Italy,2016,measles,24211.00,0.87,8.70
Kazakhstan,2016,measles,10031.00,0.99,3.40
Latvia,2016,measles,26724.54,0.93,6.10
Lithuania,2016,measles,30925.26,0.94,6.60
Luxembourg,2016,measles,112955.47,0.99,5.10
Malta,2016,measles,40319.00,0.93,9.00
Moldova,2016,measles,10816.00,0.88,7.50
Montenegro,2016,measles,18798.00,0.47,8.60
Netherlands,2016,measles,53163.28,0.94,10.06
North Macedonia,2016,measles,15554.00,0.82,6.38
Norway,2016,measles,59263.43,0.96,10.53
Poland,2016,measles,27830.93,0.96,6.59
Portugal,2016,measles,31607.76,0.98,9.39
Romania,2016,measles,24759.00,0.86,5.08
Russia,2016,measles,25491.00,0.98,5.29
San Marino,2016,measles,58433.00,0.82,8.42
Serbia,2016,measles,16183.00,0.82,8.45
Slovakia,2016,measles,29737.53,0.95,7.09
Slovenia,2016,measles,33581.83,0.92,8.46
Spain,2016,measles,37333.06,0.97,8.95
Sweden,2016,measles,50289.79,0.97,10.85
Switzerland,2016,measles,67350.74,0.94,10.99
Turkey,2016,measles,26695.91,0.98,4.28
Ukraine,2016,measles,11536.00,0.42,7.55
United Kingdom,2016,measles,44057.69,0.92,9.73
Albania,2016,tetanus,12292.00,0.98,6.70
Andorra,2016,tetanus,11580.00,0.98,6.90
Armenia,2016,tetanus,52665.09,0.94,10.90
Austria,2016,tetanus,14232.00,0.87,10.40
Azerbaijian,2016,tetanus,49830.00,0.97,4.40
Belarus,2016,tetanus,48599.20,0.98,5.90
Belgium,2016,tetanus,13001.00,0.98,10.80
Bosnia and Herzegovina,2016,tetanus,20733.00,0.78,9.10
Bulgaria,2016,tetanus,26056.00,0.92,7.50
Croatia,2016,tetanus,36627.61,0.93,6.70
Czech Republic,2016,tetanus,51814.24,0.96,7.40
Denmark,2016,tetanus,31945.12,0.94,10.30
Estonia,2016,tetanus,44934.49,0.93,6.70
Finland,2016,tetanus,42983.75,0.92,9.40
France,2016,tetanus,12964.00,0.96,11.50
Georgia,2016,tetanus,50579.48,0.92,8.00
Germany,2016,tetanus,27511.80,0.91,11.20
Greece,2016,tetanus,27941.93,0.99,8.40
Hungary,2016,tetanus,54477.41,0.99,7.00
Iceland,2016,tetanus,73170.44,0.91,8.10
Ireland,2016,tetanus,40267.22,0.95,7.50
Italy,2016,tetanus,24211.00,0.94,8.70
Kazakhstan,2016,tetanus,10031.00,0.82,3.40
Latvia,2016,tetanus,26724.54,0.98,6.10
Lithuania,2016,tetanus,30925.26,0.94,6.60
Luxembourg,2016,tetanus,112955.47,0.99,5.10
Malta,2016,tetanus,40319.00,0.97,9.00
Moldova,2016,tetanus,10816.00,0.89,7.50
Montenegro,2016,tetanus,18798.00,0.89,8.60
Netherlands,2016,tetanus,53163.28,0.95,10.06
North Macedonia,2016,tetanus,15554.00,0.95,6.38
Norway,2016,tetanus,59263.43,0.96,10.53
Poland,2016,tetanus,27830.93,0.98,6.59
Portugal,2016,tetanus,31607.76,0.98,9.39
Romania,2016,tetanus,24759.00,0.89,5.08
Russia,2016,tetanus,25491.00,0.97,5.29
San Marino,2016,tetanus,58433.00,0.86,8.42
Serbia,2016,tetanus,16183.00,0.92,8.45
Slovakia,2016,tetanus,29737.53,0.96,7.09
Slovenia,2016,tetanus,33581.83,0.94,8.46
Spain,2016,tetanus,37333.06,0.97,8.95
Sweden,2016,tetanus,50289.79,0.98,10.85
Switzerland,2016,tetanus,67350.74,0.96,10.99
Turkey,2016,tetanus,26695.91,0.98,4.28
Ukraine,2016,tetanus,11536.00,0.19,7.55
United Kingdom,2016,tetanus,44057.69,0.94,9.73
Albania,2016,hepatitis,12292.00,0.98,6.70
Andorra,2016,hepatitis,11580.00,0.94,6.90
Armenia,2016,hepatitis,52665.09,0.94,10.90
Austria,2016,hepatitis,14232.00,0.87,10.40
Azerbaijian,2016,hepatitis,49830.00,0.97,4.40
Belarus,2016,hepatitis,48599.20,0.96,5.90
Belgium,2016,hepatitis,13001.00,0.97,10.80
Bosnia and Herzegovina,2016,hepatitis,20733.00,0.78,9.10
Bulgaria,2016,hepatitis,26056.00,0.91,7.50
Croatia,2016,hepatitis,36627.61,0.92,6.70
Czech Republic,2016,hepatitis,51814.24,0.96,7.40
Denmark,2016,hepatitis,31945.12,0.97,10.30
Estonia,2016,hepatitis,44934.49,0.93,6.70
