country,region
Albania,13
Andorra,0
Austria,186
Belarus,193
Belgium,67
Bosnia and Herzegovina,13
Bulgaria,0
Croatia,3
Czechia,1
Denmark,9
Estonia,4
Finland,1
France,117
Germany,79
Greece,0
Hungary,1
Iceland,0
Ireland,4
Italy,0
Latvia,1
Luxembourg,0
Malta,0
Monaco,0
Montenegro,0
Netherlands (Kingdom of the),7
North Macedonia,1
Norway,2
Poland,35
Portugal,0
Romania,3677
Russian Federation,13083
San Marino,0
Serbia,50
Slovakia,6
Slovenia,1
Spain,15
Sweden,11
Switzerland,52
Ukraine,66
United Kingdom of Great Britain and Northern Ireland,493
