Countries,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.98,0.98,0.96,0.94
Andorra,0.94,0.95,0.94,0.94,0.99,0.98,0.98,0.98,0.98,0.98,0.97
Armenia,0.95,0.93,0.94,0.94,0.94,0.92,0.92,0.92,0.93,0.96,0.96
Austria,0.95,0.98,0.93,0.87,0.90,0.85,0.85,0.85,0.85,0.95,0.88
Azerbaijian,0.93,0.94,0.96,0.97,0.95,0.95,0.94,0.79,0.89,0.94,0.97
Belarus,0.98,0.97,0.99,0.96,0.98,0.98,0.97,0.97,0.98,0.90,0.98
Belgium,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.90
Bosnia and Herzegovina,0.91,0.89,0.82,0.78,0.77,0.80,0.80,0.80,0.80,0.75,0.98
Bulgaria,0.95,0.95,0.92,0.91,0.92,0.85,0.93,0.91,0.89,0.91,0.91
Croatia,0.96,0.95,0.94,0.92,0.92,0.93,0.93,0.91,0.90,0.95,0.92
Czech Republic,0.99,0.99,0.97,0.96,0.94,0.96,0.97,0.96,0.94,0.94,0.94
Denmark,0.97,0.96,0.96,0.97,0.99,0.97,0.97,0.97,0.98,0.97,0.97
Estonia,0.93,0.93,0.91,0.93,0.92,0.93,0.91,0.90,0.84,0.95,0.98
Finland,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.99,0.99
France,0.82,0.83,0.88,0.90,0.90,0.91,0.91,0.91,0.91,0.97,0.95
Georgia,0.96,0.91,0.94,0.92,0.91,0.93,0.94,0.88,0.85,0.85,0.90
Germany,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.87,0.90,0.95
Greece,0.98,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.99,0.99
Hungary,0.98,0.98,0.97,0.97,0.97,0.97,0.96,0.97,0.96,0.96,0.96
Iceland,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.96,0.96
Ireland,0.95,0.95,0.95,0.95,0.95,0.94,0.93,0.94,0.93,0.94,0.92
Italy,0.96,0.95,0.93,0.93,0.94,0.95,0.95,0.94,0.94,0.95,0.95
Kazakhstan,0.99,0.92,0.98,0.82,0.99,0.98,0.91,0.88,0.95,0.94,0.93
Kosovo,0.86,0.88,0.90,0.80,0.90,0.97,0.90,0.91,0.89,0.90,0.89
Latvia,0.94,0.92,0.94,0.98,0.98,0.96,0.99,0.99,0.94,0.94,0.94
Liechtenstein,0.95,0.94,0.94,0.96,0.97,0.95,0.94,0.93,0.91,0.90,0.92
Lithuania,0.93,0.94,0.94,0.95,0.94,0.93,0.92,0.91,0.90,0.90,0.90
Luxembourg,0.94,0.94,0.94,0.94,0.94,0.96,0.96,0.96,0.96,0.95,0.94
Malta,0.94,0.90,0.95,0.97,0.88,0.98,0.98,0.98,0.99,0.99,0.99
Moldova,0.91,0.92,0.88,0.90,0.89,0.94,0.94,0.87,0.87,0.84,0.86
Monaco,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.97
Montenegro,0.90,0.87,0.82,0.75,0.73,0.72,0.62,0.52,0.51,0.72,0.72
Netherlands,0.51,0.94,0.94,0.93,0.92,0.92,0.92,0.93,0.93,0.90,0.91
North Macedonia,0.97,0.97,0.92,0.94,0.91,0.92,0.92,0.84,0.79,0.84,0.81
Norway,0.94,0.93,0.95,0.96,0.88,0.92,0.96,0.97,0.96,0.96,0.96
Poland,0.96,0.96,0.96,0.95,0.93,0.91,0.91,0.90,0.90,0.90,0.88
Portugal,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99
Romania,0.96,0.94,0.90,0.90,0.92,0.93,0.90,0.87,0.86,0.89,0.88
Russia,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.95,0.96
San Marino,0.83,0.83,0.84,0.86,0.82,0.78,0.87,0.89,0.90,0.93,0.95
Serbia,0.91,0.92,0.94,0.91,0.93,0.91,0.94,0.87,0.87,0.89,0.88
Slovakia,0.98,0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.96
Slovenia,0.95,0.95,0.95,0.94,0.94,0.93,0.95,0.95,0.86,0.89,0.89
Spain,0.95,0.96,0.97,0.97,0.94,0.96,0.95,0.94,0.92,0.94,0.95
Sweden,0.35,0.42,0.53,0.67,0.76,0.92,0.97,0.97,0.98,0.95,0.96
Switzerland,0.96,0.96,0.96,0.96,0.96,0.96,0.69,0.72,0.73,0.72,0.75
Turkey,0.97,0.96,0.97,0.98,0.96,0.98,0.99,0.98,0.96,0.99,0.99
Ukraine,0.46,0.22,0.22,0.26,0.52,0.67,0.76,0.81,0.77,war,war
United Kingdom,0.96,0.95,0.95,0.95,0.94,0.92,0.92,0.90,0.91,0.89,0.89
Vatican City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
