Countries,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,0.99,0.98,0.97,0.96,0.96,0.94,0.95,0.91,0.87,0.97,0.91
Andorra,0.95,0.96,0.96,0.97,0.99,0.99,0.99,0.98,0.99,0.99,0.99
Armenia,0.97,0.97,0.97,0.97,0.96,0.95,0.95,0.94,0.94,0.93,0.93
Austria,0.92,0.96,0.96,0.95,0.96,0.94,0.95,0.95,0.95,0.95,0.94
Azerbaijian,0.98,0.98,0.98,0.98,0.98,0.96,0.98,0.82,0.93,0.94,0.93
Belarus,0.99,0.99,0.99,0.98,0.97,0.98,0.98,0.97,0.98,0.94,0.95
Belgium,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Bosnia and Herzegovina,0.92,0.89,0.83,0.68,0.69,0.68,0.68,0.68,0.68,0.50,0.66
Bulgaria,0.95,0.93,0.92,0.92,0.94,0.93,0.95,0.88,0.89,0.95,0.91
Croatia,0.94,0.94,0.93,0.90,0.89,0.93,0.93,0.91,0.89,0.86,0.84
Czech Republic,0.99,0.99,0.99,0.98,0.97,0.96,0.92,0.94,0.97,0.95,0.92
Denmark,0.89,0.90,0.91,0.94,0.97,0.95,0.96,0.94,0.95,0.92,0.86
Estonia,0.94,0.93,0.93,0.93,0.93,0.87,0.88,0.91,0.89,0.91,0.71
Finland,0.97,0.96,0.95,0.94,0.94,0.96,0.96,0.95,0.93,0.93,0.92
France,0.90,0.91,0.91,0.90,0.90,0.90,0.92,0.92,0.92,0.90,0.91
Georgia,0.97,0.92,0.96,0.93,0.95,0.98,0.99,0.91,0.90,0.96,0.94
Germany,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.92,0.82
Greece,0.99,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.94,0.96
Hungary,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.92,0.90
Iceland,0.91,0.90,0.93,0.91,0.92,0.93,0.93,0.93,0.92,0.90,0.91
Ireland,0.93,0.93,0.93,0.92,0.92,0.92,0.91,0.92,0.90,0.90,0.86
Italy,0.90,0.87,0.85,0.87,0.92,0.93,0.94,0.92,0.92,0.95,0.95
Kazakhstan,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.93,0.97,0.92,0.90
Kosovo,0.92,0.92,0.91,0.91,0.90,0.87,0.86,0.87,0.86,0.79,0.76
Latvia,0.96,0.95,0.96,0.93,0.96,0.98,0.99,0.99,0.97,0.90,0.86
Liechtenstein,0.91,0.92,0.94,0.95,0.96,0.97,0.95,0.92,0.89,0.91,0.83
Lithuania,0.93,0.93,0.94,0.94,0.94,0.92,0.93,0.90,0.88,0.92,0.89
Luxembourg,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.95
Malta,0.99,0.98,0.89,0.93,0.91,0.96,0.96,0.95,0.90,0.98,0.99
Moldova,0.91,0.90,0.89,0.88,0.93,0.93,0.97,0.84,0.83,0.81,0.80
Monaco,0.91,0.90,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.90,0.90
Montenegro,0.88,0.76,0.64,0.47,0.58,0.42,0.33,0.24,0.18,0.49,0.56
Netherlands,0.96,0.96,0.95,0.94,0.93,0.93,0.94,0.94,0.93,0.94,0.93
North Macedonia,0.96,0.93,0.89,0.82,0.83,0.75,0.75,0.63,0.70,0.73,0.72
Norway,0.93,0.94,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.95,0.96
Poland,0.98,0.97,0.96,0.96,0.94,0.93,0.93,0.80,0.80,0.93,0.90
Portugal,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.86,0.88
Romania,0.92,0.89,0.86,0.86,0.86,0.90,0.90,0.87,0.86,0.83,0.90
Russia,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.85,0.88
San Marino,0.82,0.81,0.84,0.82,0.86,0.89,0.86,0.90,0.89,0.93,0.91
Serbia,0.92,0.86,0.86,0.82,0.86,0.92,0.87,0.78,0.78,0.75,0.85
Slovakia,0.98,0.97,0.95,0.95,0.96,0.96,0.96,0.96,0.95,0.94,0.95
Slovenia,0.94,0.94,0.94,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.93
Spain,0.95,0.96,0.96,0.97,0.98,0.98,0.98,0.96,0.95,0.95,0.94
Sweden,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.92,0.89
Switzerland,0.93,0.94,0.94,0.94,0.95,0.95,0.95,0.97,0.95,0.94,0.94
Turkey,0.98,0.94,0.97,0.98,0.96,0.96,0.97,0.95,0.96,0.85,0.84
Ukraine,0.79,0.56,0.56,0.42,0.86,0.91,0.93,0.85,0.88,0.53,0.55
United Kingdom,0.93,0.93,0.93,0.92,0.92,0.92,0.91,0.91,0.91,0.89,0.91
Vatican City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
