Countries,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.98,0.98,0.92,0.84
Andorra,0.96,0.97,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.96,0.96
Armenia,0.95,0.93,0.94,0.94,0.94,0.92,0.92,0.91,0.85,0.90,0.90
Austria,0.95,0.98,0.93,0.87,0.90,0.85,0.85,0.85,0.85,0.95,0.92
Azerbaijian,0.93,0.94,0.96,0.97,0.95,0.95,0.94,0.79,0.89,0.91,0.90
Belarus,0.98,0.97,0.99,0.98,0.97,0.97,0.98,0.97,0.98,0.93,0.93
Belgium,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.98,0.95,0.98
Bosnia and Herzegovina,0.89,0.86,0.82,0.78,0.75,0.73,0.73,0.73,0.73,0.73,0.74
Bulgaria,0.95,0.88,0.91,0.92,0.92,0.92,0.93,0.91,0.89,0.97,0.97
Croatia,0.96,0.95,0.94,0.93,0.92,0.93,0.94,0.94,0.92,0.90,0.84
Czech Republic,0.98,0.97,0.97,0.96,0.96,0.97,0.97,0.97,0.94,0.95,0.94
Denmark,0.94,0.94,0.93,0.94,0.98,0.97,0.97,0.97,0.97,0.97,0.97
Estonia,0.94,0.93,0.93,0.93,0.93,0.92,0.91,0.91,0.90,0.93,0.91
Finland,0.98,0.98,0.97,0.92,0.89,0.91,0.91,0.90,0.89,0.91,0.90
France,0.99,0.98,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.95
Georgia,0.93,0.91,0.94,0.92,0.91,0.93,0.94,0.88,0.85,0.94,0.94
Germany,0.93,0.93,0.93,0.91,0.91,0.91,0.91,0.91,0.91,0.94,0.96
Greece,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.95
Hungary,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98
Iceland,0.91,0.90,0.92,0.91,0.89,0.91,0.92,0.93,0.92,0.99,0.99
Ireland,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.95
Italy,0.96,0.95,0.93,0.94,0.95,0.95,0.96,0.94,0.94,0.93,0.95
Kazakhstan,0.98,0.95,0.98,0.82,0.99,0.98,0.97,0.88,0.95,0.93,0.90
Kosovo,0.95,0.93,0.95,0.95,0.97,0.97,0.96,0.90,0.90,0.90,0.90
Latvia,0.94,0.92,0.94,0.98,0.98,0.96,0.99,0.99,0.94,0.95,0.94
Liechtenstein,0.92,0.95,0.95,0.95,0.96,0.94,0.95,0.90,0.90,0.87,0.90
Lithuania,0.93,0.93,0.93,0.94,0.94,0.92,0.92,0.91,0.90,0.87,0.90
Luxembourg,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99
Malta,0.99,0.99,0.97,0.97,0.98,0.97,0.98,0.98,0.99,0.98,0.99
Moldova,0.90,0.90,0.87,0.89,0.88,0.93,0.91,0.86,0.87,0.93,0.94
Monaco,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98
Montenegro,0.94,0.91,0.89,0.89,0.87,0.86,0.85,0.84,0.83,0.80,0.82
Netherlands,0.97,0.96,0.95,0.95,0.94,0.93,0.94,0.94,0.95,0.95,0.95
North Macedonia,0.98,0.95,0.91,0.95,0.91,0.92,0.92,0.84,0.81,0.84,0.84
Norway,0.94,0.93,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.94,0.95
Poland,0.99,0.98,0.98,0.98,0.96,0.95,0.95,0.90,0.90,0.92,0.91
Portugal,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.95,0.96
Romania,0.92,0.94,0.89,0.89,0.82,0.86,0.88,0.87,0.86,0.94,0.89
Russia,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
San Marino,0.86,0.84,0.85,0.86,0.88,0.90,0.88,0.89,0.90,0.92,0.91
Serbia,0.95,0.93,0.95,0.92,0.95,0.96,0.97,0.92,0.92,0.93,0.92
Slovakia,0.98,0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.95,0.94
Slovenia,0.95,0.95,0.95,0.94,0.04,0.93,0.95,0.95,0.86,0.89,0.95
Spain,0.96,0.97,0.97,0.97,0.95,0.96,0.95,0.94,0.92,0.93,0.93
Sweden,0.98,0.97,0.98,0.98,0.97,0.97,0.98,0.97,0.98,0.94,0.94
Switzerland,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.93
Turkey,0.98,0.96,0.97,0.98,0.96,0.98,0.99,0.98,0.95,0.93,0.95
Ukraine,0.76,0.23,0.23,0.19,0.50,0.69,0.80,0.81,0.78,0.63,0.65
United Kingdom,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.95,0.95
Vatican City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
