country,incidence,vaccine_rate,disease
Albania,0,0.99,Measles
Andorra,0,0.95,Measles
Austria,,0.92,Measles
Belarus,16,0.99,Measles
Belgium,39,0.96,Measles
Bosnia and Herzegovina,,0.92,Measles
Bulgaria,14,0.95,Measles
Croatia,0,0.94,Measles
Czechia,15,0.99,Measles
Denmark,17,0.89,Measles
Estonia,2,0.94,Measles
Finland,2,0.97,Measles
France,272,0.9,Measles
Germany,"1,771",0.97,Measles
Greece,3,0.99,Measles
Hungary,1,0.99,Measles
Iceland,0,0.91,Measles
Ireland,51,0.93,Measles
Italy,,0.9,Measles
Latvia,0,0.96,Measles
Luxembourg,0,0.99,Measles
Malta,,0.99,Measles
Monaco,,0.91,Measles
Montenegro,0,0.88,Measles
Netherlands,"2,632",0.96,Measles
North Macedonia,4,0.96,Measles
Norway,8,0.93,Measles
Poland,84,0.98,Measles
Portugal,1,0.98,Measles
Romania,"1,159",0.92,Measles
Russia,"2,339",0.98,Measles
San Marino,,0.82,Measles
Serbia,1,0.92,Measles
Slovakia,0,0.98,Measles
Slovenia,1,0.94,Measles
Spain,131,0.95,Measles
Sweden,51,0.97,Measles
Switzerland,175,0.93,Measles
Ukraine,,0.79,Measles
United Kingdom,"1,919",0.93,Measles
Albania,0,0.99,Tetanus
Andorra,0,0.96,Tetanus
Austria,,0.95,Tetanus
Belarus,0,0.93,Tetanus
Belgium,,0.98,Tetanus
Bosnia and Herzegovina,,0.99,Tetanus
Bulgaria,1,0.89,Tetanus
Croatia,1,0.95,Tetanus
Czechia,0,0.96,Tetanus
Denmark,1,0.98,Tetanus
Estonia,1,0.94,Tetanus
Finland,,0.94,Tetanus
France,10,0.98,Tetanus
Germany,,0.99,Tetanus
Greece,1,0.99,Tetanus
Hungary,2,0.99,Tetanus
Iceland,0,0.91,Tetanus
Ireland,2,0.96,Tetanus
Italy,,0.96,Tetanus
Latvia,0,0.94,Tetanus
Luxembourg,2,0.99,Tetanus
Malta,0,0.99,Tetanus
Monaco,,0.99,Tetanus
Montenegro,,0.94,Tetanus
Netherlands,0,0.97,Tetanus
North Macedonia,1,0.98,Tetanus
Norway,0,0.94,Tetanus
Poland,0,0.99,Tetanus
Portugal,14,0.98,Tetanus
Romania,1,0.92,Tetanus
Russia,6,0.97,Tetanus
San Marino,11,0.86,Tetanus
Serbia,,0.95,Tetanus
Slovakia,2,0.98,Tetanus
Slovenia,0,0.95,Tetanus
Spain,1,0.96,Tetanus
Sweden,13,0.98,Tetanus
Switzerland,3,0.96,Tetanus
Ukraine,,0.76,Tetanus
United Kingdom,,0.95,Tetanus
